update,mean_cost,mean_advantage,policy_loss,entropy_loss,capacity_loss,hinge_loss,spread_loss,total_loss,priority_dropped,economy_dropped,val_rl_cost,best_val_cost
1,16363.375,0.5602025680232342,0.14101701974868774,-6.8007941246032715,6.880262581887564e-09,18.620830535888672,13.213926315307617,25.17498016357422,0.0,101.0,,inf
2,22894.5,-0.10092978605684066,0.4279720187187195,-11.144949913024902,1.2979916697020144e-08,14.716031074523926,18.90652084350586,22.905574798583984,0.0,114.75,,inf
3,17088.875,0.5501654287729862,0.20793087780475616,-8.690338134765625,5.757097909508957e-08,3.8629798889160156,12.463688850402832,7.844261169433594,0.0,82.75,,inf
4,15428.75,0.30692194847794535,0.06476307660341263,-12.199919700622559,7.730536566441515e-08,0.6454837322235107,9.750051498413086,-1.7396211624145508,0.0,94.0,,inf
5,17856.625,0.423589201046013,0.16505923867225647,-9.885148048400879,7.904420584736727e-08,0.07283604145050049,12.598250389099121,2.9509973526000977,0.0,85.875,,inf
6,14403.75,0.404342356843716,-0.06835304945707321,-6.978451728820801,8.398285444854992e-08,0.0,8.184150695800781,1.137345790863037,0.0,82.625,,inf
7,18793.25,0.03595029400912225,0.29101523756980896,-10.479019165039062,8.247778993109023e-08,0.03779773786664009,8.474580764770508,-1.6756248474121094,0.0,96.25,,inf
8,17540.25,0.11899645455274138,0.09048756211996078,-9.521252632141113,8.618631852641556e-08,0.1021186038851738,6.103318214416504,-3.2253284454345703,0.0,99.875,,inf
9,15952.0,0.972895349260373,-0.262005090713501,-5.325089931488037,5.6546319626704644e-08,0.08446421474218369,7.728757858276367,2.2261266708374023,0.0,66.0,,inf
10,16664.125,0.3750466638067652,-0.2394307255744934,-9.224867820739746,4.736383374392972e-08,0.7010613083839417,4.922478675842285,-3.8407583236694336,0.0,79.25,15740.4,15740.4
11,22472.5,-0.5551431976975818,0.5288551449775696,-13.597630500793457,5.962839111361973e-08,0.4098820686340332,5.79360294342041,-6.865290641784668,0.0,107.125,,15740.4
12,13398.5,0.2562886158173028,-0.10776133835315704,-9.226190567016602,8.044352739489113e-08,0.1415470689535141,3.6513512134552,-5.541053771972656,0.0,83.875,,15740.4
13,19774.625,-0.17922989877009143,0.40069645643234253,-11.5497465133667,1.1681331102408876e-07,0.15866605937480927,5.095652103424072,-5.8947319984436035,0.0,99.75,,15740.4
14,21678.375,-0.46197091637489257,0.27407705783843994,-12.698314666748047,9.143831647406842e-08,0.10700807720422745,4.539820671081543,-7.777408599853516,0.0,110.75,,15740.4
15,19736.625,-0.4271742081358885,0.35016387701034546,-13.432787895202637,9.915709853203225e-08,0.2571479082107544,4.559882164001465,-8.265594482421875,0.0,110.125,,15740.4
16,20606.375,0.07698292550555863,0.18585948646068573,-11.75786018371582,6.033152288864585e-08,0.17430078983306885,5.101082801818848,-6.296616554260254,0.0,90.25,,15740.4
17,20669.5,0.17630167614012282,0.050171852111816406,-10.923649787902832,5.670387182021841e-08,0.2049763798713684,6.094398498535156,-4.574103355407715,0.0,95.125,,15740.4
18,17962.75,-0.09169991777494955,0.4726713001728058,-13.90509033203125,9.051914418023443e-08,0.24300560355186462,4.075928211212158,-9.113485336303711,0.0,105.0,,15740.4
19,24994.875,-0.9934916692451804,0.7763997316360474,-17.599546432495117,1.185339471021507e-07,0.16530011594295502,4.139564514160156,-12.518281936645508,0.0,125.0,,15740.4
20,15073.25,0.09333693315263394,0.0695628896355629,-12.987451553344727,8.021787323286844e-08,0.18662160634994507,3.064427375793457,-9.666839599609375,0.0,101.5,16756.3,15740.4
21,14306.125,0.8698611944574473,-0.22255687415599823,-7.534339904785156,6.936929963785587e-08,0.14257168769836426,5.34747838973999,-2.2668471336364746,0.0,73.5,,15740.4
22,17396.125,0.5308178039875112,-0.5883122086524963,-8.346762657165527,8.184659350263246e-08,0.19797195494174957,4.707624435424805,-4.029478073120117,0.0,82.125,,15740.4
23,20266.375,-0.12015359809444703,0.12719056010246277,-13.159820556640625,1.0201910782825507e-07,0.10935504734516144,5.67112922668457,-7.252145767211914,0.0,99.875,,15740.4
24,18314.25,0.24495848888381214,-0.03439831733703613,-10.100552558898926,8.629875480892224e-08,0.12281449139118195,5.355177402496338,-4.656959056854248,0.0,88.625,,15740.4
25,17783.25,0.411680677618953,-0.06251432001590729,-9.495684623718262,7.089715126085139e-08,0.14942237734794617,5.806048393249512,-3.6027278900146484,0.0,89.75,,15740.4
26,17952.0,0.07148863868605043,0.09875518083572388,-10.64246654510498,1.3651556685090327e-07,0.13680848479270935,4.489314079284668,-5.91758918762207,0.0,91.125,,15740.4
27,23493.5,-0.27331700234978473,0.22939127683639526,-12.695310592651367,5.954188964096829e-08,0.06336647272109985,6.085232734680176,-6.317319869995117,0.0,100.875,,15740.4
28,21055.625,-0.7560704876394575,1.2251050472259521,-17.304628372192383,7.46625943293111e-08,0.10448162257671356,4.482202529907227,-11.492838859558105,0.0,114.0,,15740.4
29,18211.5,0.28805367299859813,-0.08850415796041489,-10.625167846679688,5.0224734593484754e-08,0.13741037249565125,5.5183820724487305,-5.057879447937012,0.0,82.75,,15740.4
30,17068.875,-0.023908345106953,0.10291701555252075,-11.033854484558105,7.747088659471046e-08,0.15642528235912323,3.291591167449951,-7.482921123504639,0.0,92.25,17703.925,15740.4
31,22791.5,-0.13689198428148097,0.16129106283187866,-12.264816284179688,5.4918025682582083e-08,0.2168911099433899,5.751502513885498,-6.135131359100342,0.0,96.875,,15740.4
32,16502.0,0.13723859780728684,0.25870802998542786,-10.700186729431152,8.074999868767918e-08,0.20805668830871582,4.463149070739746,-5.770273208618164,0.0,88.875,,15740.4
33,17580.5,0.05815575043354565,0.18312406539916992,-10.725401878356934,9.479767726361388e-08,0.08489418029785156,5.158456802368164,-5.298927307128906,0.0,92.25,,15740.4
34,17812.5,0.23395768024965252,0.09711911529302597,-9.912200927734375,8.013381602722802e-08,0.07723807543516159,5.286962509155273,-4.450881004333496,0.0,87.25,,15740.4
35,15901.0,0.23042495257269033,0.14737600088119507,-10.3970947265625,6.962716980751793e-08,0.10410337150096893,4.153626441955566,-5.9919891357421875,0.0,90.5,,15740.4
36,16616.5,-0.19317830688819135,0.32309865951538086,-12.2678861618042,9.72444453850585e-08,0.07095393538475037,3.873270273208618,-8.000563621520996,0.0,97.375,,15740.4
37,20008.5,0.08717886034579356,-0.17656150460243225,-10.606471061706543,7.268784685265928e-08,0.11248475313186646,6.512984275817871,-4.157563209533691,0.0,94.375,,15740.4
38,16409.625,0.3653576770867147,-0.15229098498821259,-9.5436429977417,7.105681021357668e-08,0.1749895066022873,5.086272239685059,-4.4346723556518555,0.0,84.5,,15740.4
39,14593.5,0.04422587535596581,0.18774357438087463,-12.594549179077148,7.174847382884764e-08,0.11801814287900925,3.109896659851074,-9.1788911819458,0.0,98.625,,15740.4
40,18449.375,-0.18978971094677755,0.6144843697547913,-10.839081764221191,8.92830271936873e-08,0.15257126092910767,5.179326057434082,-4.892699241638184,0.0,94.875,16988.5,15740.4
41,17887.25,-0.11056701513395657,0.34558403491973877,-11.660666465759277,8.731631595537692e-08,0.18412622809410095,4.447504043579102,-6.683452606201172,0.0,97.875,,15740.4
42,16420.625,0.23217892948647673,-0.011614296585321426,-9.944145202636719,6.910028105266974e-08,0.2146024852991104,4.744894504547119,-4.996262073516846,0.0,85.25,,15740.4
43,19881.25,-0.4435245423920162,0.5342183113098145,-13.281468391418457,7.996978013125045e-08,0.08595768362283707,3.981030225753784,-8.680261611938477,0.0,107.625,,15740.4
44,24896.25,-0.7027456088457922,0.616544246673584,-14.716296195983887,1.0749313616997824e-07,0.13923196494579315,5.984772682189941,-7.975748062133789,0.0,117.0,,15740.4
45,21250.25,-0.023576451916561603,0.14976420998573303,-11.861361503601074,8.778246751717234e-08,0.13698004186153412,5.621563911437988,-5.9530534744262695,0.0,97.25,,15740.4
46,16115.125,-0.06752935528094417,0.3066638112068176,-11.926371574401855,6.582243372577068e-08,0.13495317101478577,4.904119491577148,-6.580635070800781,0.0,99.25,,15740.4
47,15221.875,0.1412935375973161,-0.04876396059989929,-10.946487426757812,9.102295450702513e-08,0.129635751247406,3.8948898315429688,-6.970726013183594,0.0,89.5,,15740.4
48,21691.5,-0.17318430454069617,0.2036653608083725,-11.641944885253906,8.998294021012043e-08,0.14003318548202515,6.453381538391113,-4.844864845275879,0.0,99.25,,15740.4
49,18973.875,-0.3952006657951193,0.7181695103645325,-13.818910598754883,4.375527851152583e-08,0.08979885280132294,4.509394645690918,-8.501547813415527,0.0,105.625,,15740.4
50,20474.125,-0.06933138918459336,0.22556881606578827,-12.799375534057617,8.210808033481953e-08,0.11415781080722809,5.6152825355529785,-6.844366550445557,0.0,97.0,17086.35,15740.4
51,20413.25,-0.4449892770956523,0.46832406520843506,-14.557995796203613,9.33059851604412e-08,0.11807728558778763,4.570496559143066,-9.401098251342773,0.0,111.75,,15740.4
52,21318.875,-0.16440404987887436,0.16165781021118164,-13.655591011047363,8.143970120499944e-08,0.1436058133840561,5.283758163452148,-8.066568374633789,0.0,107.875,,15740.4
53,14742.0,0.1205238699810937,0.15097321569919586,-11.780160903930664,7.593416739837267e-08,0.10196210443973541,3.7440848350524902,-7.783140659332275,0.0,94.625,,15740.4
54,19393.5,0.2347165757639854,0.07755547761917114,-11.42731761932373,5.781947010063959e-08,0.07837073504924774,5.049219131469727,-6.222171783447266,0.0,96.375,,15740.4
55,15690.75,0.21725201209498013,0.2152077704668045,-10.644902229309082,9.350680585384907e-08,0.09956758469343185,4.331216812133789,-5.998909950256348,0.0,92.5,,15740.4
56,23481.25,-0.15967152153271386,0.15994691848754883,-13.486640930175781,7.856854722376738e-08,0.13185513019561768,6.052060127258301,-7.142779350280762,0.0,106.125,,15740.4
57,16014.625,0.5316407215841179,-0.10968996584415436,-9.434440612792969,8.524438044332783e-08,0.2238757312297821,4.741120338439941,-4.579133987426758,0.0,80.875,,15740.4
58,18078.75,-0.10290208250614,1.4808191061019897,-12.827409744262695,8.632309089762202e-08,0.1859654039144516,4.617466926574707,-6.543158531188965,0.0,97.5,,15740.4
59,19104.375,-0.22297616840877515,0.21594132483005524,-13.236578941345215,6.52775611342804e-08,0.16931423544883728,4.153532981872559,-8.697790145874023,0.0,105.5,,15740.4
60,16654.5,0.04635973181291682,-0.18054446578025818,-13.186564445495605,6.883202985363823e-08,0.17741313576698303,4.329761981964111,-8.859933853149414,0.0,96.0,16877.675,15740.4
61,13107.5,0.42509026665707145,-0.11290079355239868,-9.583800315856934,6.789586848299223e-08,0.12563981115818024,4.050542831420898,-5.5205183029174805,0.0,85.75,,15740.4
62,16686.5,0.38425419590812093,0.005753323435783386,-9.374117851257324,5.980739103961241e-08,0.09605276584625244,5.872173309326172,-3.4001379013061523,0.0,83.5,,15740.4
63,17086.5,-0.08251259863466587,0.09775499999523163,-11.37987995147705,1.192359775359364e-07,0.12564469873905182,4.591325759887695,-6.565154075622559,0.0,96.75,,15740.4
64,21199.5,-0.054622223343967935,0.01321457326412201,-12.78890323638916,7.158770642945456e-08,0.0974927693605423,6.119759559631348,-6.558436393737793,0.0,100.125,,15740.4
65,16280.375,0.08346354337359485,0.20656566321849823,-12.084817886352539,6.271605457186524e-08,0.07860030978918076,4.19960355758667,-7.600048542022705,0.0,95.5,,15740.4
66,17901.875,0.05706174245679907,0.19767960906028748,-11.292816162109375,7.812783309191218e-08,0.14542156457901,4.330456256866455,-6.619258403778076,0.0,95.125,,15740.4
67,12984.0,0.7227397165535663,-0.46277761459350586,-8.087811470031738,1.145832371207689e-07,0.10544392466545105,3.871027946472168,-4.5741167068481445,0.0,74.25,,15740.4
68,19582.5,-0.16390988934254777,0.2026074230670929,-12.462871551513672,6.853778700133262e-08,0.0712224543094635,5.46381950378418,-6.725222587585449,0.0,99.0,,15740.4
69,12255.75,0.33211887715824373,-0.1893116682767868,-9.136430740356445,1.656186725540465e-07,0.11356998980045319,2.5891082286834717,-6.623064041137695,0.0,83.375,,15740.4
70,23757.5,-0.8664862881838632,0.7149854898452759,-16.114072799682617,7.696244352928261e-08,0.09595813602209091,4.87255859375,-10.430570602416992,0.0,117.25,15832.3,15740.4
71,19001.5,-0.02936624273688493,-0.04981747269630432,-11.357756614685059,9.348665486186292e-08,0.15545330941677094,5.1529221534729,-6.099197864532471,0.0,94.625,,15740.4
72,15057.5,0.41080955968620725,-0.28643307089805603,-9.083881378173828,7.201909113518923e-08,0.17412741482257843,4.329383850097656,-4.866803169250488,0.0,80.5,,15740.4
73,24638.625,-0.14030650118234583,0.34071213006973267,-12.82273006439209,5.5025687117904454e-08,0.11921675503253937,6.640054702758789,-5.722745895385742,0.0,98.5,,15740.4
74,20813.875,0.10480730120287834,0.1349075883626938,-11.422924995422363,6.37088675148334e-08,0.16172459721565247,5.743654727935791,-5.3826375007629395,0.0,90.125,,15740.4
75,23961.375,-0.25716701406029996,0.282818078994751,-14.867746353149414,8.273407559045154e-08,0.09613333642482758,5.981886863708496,-8.506908416748047,0.0,110.375,,15740.4
