epoch,train_loss,train_ce,train_weight_pen,train_volume_pen,val_loss,val_weight_pen,val_volume_pen,train_acc,val_acc,priority_acc,lr
54,0.876581,0.828289,3.421608,15.895126,0.838182,3.672522,17.331429,0.6881,0.7001,0.627,2.778e-05
55,0.876838,0.828872,3.391233,15.795042,0.841062,3.904045,18.121534,0.6888,0.7034,0.6386,2.77e-05
56,0.875131,0.826893,3.413473,15.881806,0.841486,3.541664,16.84329,0.6892,0.6936,0.6029,2.762e-05
57,0.875957,0.828043,3.398677,15.766962,0.839179,3.592076,17.052914,0.69,0.6958,0.6065,2.754e-05
58,0.874597,0.826525,3.407725,15.820806,0.841012,3.643925,17.247572,0.6892,0.6953,0.6053,2.745e-05
59,0.871024,0.823046,3.399525,15.791427,0.841956,3.774957,17.755387,0.691,0.6968,0.6105,2.737e-05
60,0.871247,0.823146,3.411795,15.828684,0.83686,3.619134,17.145237,0.6904,0.6982,0.6126,2.728e-05
61,0.870525,0.822624,3.399194,15.761063,0.846634,3.664505,17.42969,0.6911,0.6939,0.5904,2.719e-05
62,0.868992,0.82121,3.384662,15.728149,0.844177,3.584871,16.913461,0.6914,0.6941,0.5923,2.71e-05
63,0.867223,0.819138,3.414956,15.819203,0.831385,3.635049,17.063456,0.6919,0.7032,0.6416,2.701e-05
64,0.868327,0.820446,3.401974,15.750493,0.83371,3.633225,17.190843,0.6918,0.7009,0.6246,2.692e-05
65,0.86729,0.819188,3.414519,15.826368,0.840343,3.439844,16.558917,0.6929,0.6952,0.6015,2.682e-05
66,0.865903,0.817926,3.412677,15.778174,0.847385,3.447132,16.619384,0.6934,0.6898,0.5829,2.673e-05
67,0.864884,0.817009,3.397294,15.752577,0.83047,3.580348,16.90455,0.6942,0.7021,0.6398,2.663e-05
68,0.864502,0.816691,3.398047,15.726275,0.844374,3.550308,16.849502,0.6947,0.6942,0.5911,2.654e-05
