update,mean_cost,mean_advantage,policy_loss,entropy_loss,capacity_loss,hinge_loss,spread_loss,contrastive_loss,imitation_loss,total_loss,priority_dropped,economy_dropped,val_rl_cost,best_val_cost
1,21350.375,-1.6448253357352558,1.3289146423339844,-5.767866134643555,3.6480471976574336e-09,0.3527722656726837,0.09324915707111359,23.942676544189453,5.780477523803711,25.730224609375,0.0,105.875,,inf
2,17398.125,-1.3848305792820632,1.317628264427185,-6.8045854568481445,7.855224026798169e-09,0.2813847064971924,0.07519463449716568,21.68087387084961,5.473928451538086,22.024425506591797,0.0,98.0,,inf
3,16649.0,-0.5138965152035798,0.6214985251426697,-6.556304931640625,1.0209474154976306e-08,0.2310226708650589,0.08001147955656052,15.751128196716309,5.965566158294678,16.09292221069336,0.0,86.625,,inf
4,12308.25,0.14458502163081485,0.002652868628501892,-4.950517177581787,1.1143707290273142e-08,0.18560796976089478,0.07115721702575684,20.041629791259766,3.014138698577881,18.364669799804688,0.0,65.875,,inf
5,15219.625,-0.18086849202364028,0.29122745990753174,-8.668461799621582,3.606464105132545e-08,0.1682441234588623,0.05207870155572891,25.033897399902344,3.092787027359009,19.969772338867188,0.0,90.5,,inf
6,20308.5,-0.8700181634686774,0.8281465768814087,-9.984489440917969,3.294184480751028e-08,0.1458604633808136,0.0872434601187706,16.672121047973633,4.125342845916748,11.874225616455078,0.0,98.125,,inf
7,12295.625,0.22084169411769908,0.1538577526807785,-7.823239803314209,3.2407250216692773e-08,0.08712691813707352,0.05439291521906853,19.726680755615234,2.231201171875,14.43001937866211,0.0,75.75,,inf
8,22267.625,-0.9786455052782108,0.7829164266586304,-13.577234268188477,4.774798156859106e-08,0.0854422003030777,0.08891204744577408,23.67650032043457,3.726747989654541,14.783285140991211,0.0,108.875,,inf
9,10243.875,0.8794509627571321,-0.49406856298446655,-4.902530193328857,4.8919925887958016e-08,0.03650559112429619,0.044459905475378036,17.605636596679688,1.5325007438659668,13.822504043579102,0.0,57.875,,inf
10,16795.375,-0.5048903886331021,0.9532732963562012,-11.814531326293945,4.0376527010721475e-08,0.045187924057245255,0.06904276460409164,15.152745246887207,2.6130058765411377,7.01872444152832,0.0,94.75,12170.175,12170.175
11,19579.25,-0.19334778171513128,0.4498777985572815,-10.50340747833252,4.2518820464465534e-08,0.04714270308613777,0.09345225989818573,25.095504760742188,4.055248260498047,19.237817764282227,0.0,87.0,,12170.175
12,20408.5,-0.23677475377823104,0.4162476658821106,-11.667221069335938,6.607454139384572e-08,0.06447281688451767,0.0977330431342125,23.600263595581055,3.742809295654297,16.254304885864258,0.0,96.625,,12170.175
13,13519.25,0.29062584084899934,0.16835293173789978,-7.917672634124756,4.4772892948685694e-08,0.04656202346086502,0.07129456102848053,23.44883918762207,2.3219428062438965,18.139320373535156,0.0,70.5,,12170.175
14,17045.875,0.0041341820566980075,0.2238462120294571,-10.890098571777344,5.5810332355576975e-08,0.05543193966150284,0.10615446418523788,16.307266235351562,4.454713821411133,10.257314682006836,0.0,83.875,,12170.175
15,18990.375,-0.3052795312236395,0.3777356445789337,-11.322346687316895,5.368032418573421e-08,0.07307450473308563,0.11275999993085861,25.52532196044922,4.7047038078308105,19.471248626708984,0.0,87.5,,12170.175
16,17269.5,-0.028830733038431366,1.2800793647766113,-10.11005973815918,6.496627946717126e-08,0.060361336916685104,0.1015617847442627,21.156566619873047,3.3844494819641113,15.872958183288574,0.0,75.125,,12170.175
17,20081.125,-0.31244661152354414,0.8205339312553406,-11.83608341217041,6.53339213840809e-08,0.08003129810094833,0.10800476372241974,13.622030258178711,4.107851982116699,6.902368545532227,0.0,94.5,,12170.175
18,16324.75,-0.6526522822818558,0.6673775911331177,-13.258615493774414,5.988373885656983e-08,0.09307903051376343,0.06093453988432884,19.162385940551758,1.932785987854004,8.657946586608887,0.0,109.375,,12170.175
19,16870.625,-0.3114757042122914,0.5134161710739136,-12.529044151306152,2.853926162060816e-08,0.08965044468641281,0.0734231248497963,17.394874572753906,2.4666638374328613,8.008984565734863,0.0,93.75,,12170.175
20,30634.625,-0.9434170404239326,0.8933212161064148,-16.060094833374023,6.301738153524639e-08,0.10418026894330978,0.1584964245557785,13.853816032409668,7.127160549163818,6.076879024505615,0.0,120.0,12614.875,12170.175
21,19398.0,-0.48455486892815514,0.5558898448944092,-13.559453010559082,4.932486064035402e-08,0.10083276033401489,0.0885467529296875,16.250547409057617,4.0414347648620605,7.477799415588379,0.0,108.625,,12170.175
22,14315.5,0.5182915497061857,0.029714256525039673,-9.007972717285156,2.2847441272233482e-08,0.08164011687040329,0.0612800195813179,16.828998565673828,3.2928802967071533,11.286540985107422,0.0,81.75,,12170.175
23,17035.5,0.2191324088046206,0.26185381412506104,-10.519782066345215,4.723791846572567e-08,0.09095116704702377,0.06504766643047333,17.88114356994629,3.3104114532470703,11.08962631225586,0.0,92.25,,12170.175
24,14838.375,0.27101558446633844,-0.09236536920070648,-9.258766174316406,2.468621396189974e-08,0.0777936652302742,0.06005271151661873,21.90048599243164,2.2188045978546143,14.906005859375,0.0,81.125,,12170.175
25,22538.0,-0.29912899543484994,0.4096755385398865,-12.89885139465332,4.9021817716266014e-08,0.09162093698978424,0.12286658585071564,16.92426300048828,4.13970422744751,8.789278984069824,0.0,103.875,,12170.175
26,17548.5,-0.5972119486401013,0.5144339799880981,-15.320109367370605,5.00301275963011e-08,0.09343955665826797,0.07391518354415894,19.370159149169922,3.125483512878418,7.857321739196777,0.0,112.25,,12170.175
27,19853.375,-0.22228421687502825,0.36966341733932495,-14.035377502441406,5.6021775662884465e-08,0.08583438396453857,0.0806911364197731,20.419321060180664,2.371593475341797,9.291726112365723,0.0,104.25,,12170.175
28,14540.375,-0.1647504096283911,1.0913102626800537,-12.800355911254883,5.174212702740988e-08,0.07544073462486267,0.04664299637079239,14.137629508972168,2.0567212104797363,4.607388496398926,0.0,101.625,,12170.175
29,22609.125,-0.4010097136732806,0.9408279657363892,-14.883296012878418,5.0517982685960305e-08,0.07485082000494003,0.09887398779392242,18.494121551513672,3.725553035736084,8.450931549072266,0.0,110.5,,12170.175
30,15316.625,0.4108233419140209,0.032016411423683167,-11.167088508605957,3.196449682718594e-08,0.05640047788619995,0.061022307723760605,19.77235221862793,2.8091821670532227,11.563885688781738,0.0,87.5,12330.775,12170.175
31,14971.0,0.914878263957867,-0.44534412026405334,-6.939908027648926,3.53328744040482e-08,0.040490955114364624,0.057265736162662506,21.665283203125,2.502654552459717,16.880443572998047,0.0,67.375,,12170.175
